condition,probe,policy_id,enactment_year,topics,slope,endpoint_delta
talkie_cpt,yes_no,US-1964-HEART-ATLANTA,1964,civil_rights,0.000031,0.016884
talkie_cpt,yes_no,US-1964-NYT-SULLIVAN,1964,,-0.003140,-0.007194
talkie_cpt,yes_no,US-1964-REYNOLDS,1964,civil_rights,0.000040,0.027162
talkie_cpt,yes_no,US-1964-TONKIN-GULF,1964,natl_security,-0.003237,-0.025184
talkie_cpt,yes_no,US-1965-ESEA,1965,,-0.003051,-0.049758
talkie_cpt,yes_no,US-1965-GRISWOLD,1965,civil_rights,-0.001788,-0.020148
talkie_cpt,yes_no,US-1965-HART-CELLER,1965,,-0.003686,-0.040196
talkie_cpt,yes_no,US-1965-MEDICARE-MEDICAID,1965,social_welfare,-0.000681,-0.025577
talkie_cpt,yes_no,US-1965-VRA,1965,civil_rights,-0.002175,-0.030412
talkie_cpt,yes_no,US-1966-FOIA,1966,,-0.000755,0.017800
talkie_cpt,yes_no,US-1966-HARPER,1966,civil_rights|finance_banking,0.000184,0.020059
talkie_cpt,yes_no,US-1966-MIRANDA,1966,natl_security,0.000136,0.036331
talkie_cpt,yes_no,US-1967-KATZ,1967,natl_security,-0.001006,-0.007271
talkie_cpt,yes_no,US-1967-LOVING,1967,,0.001051,0.004233
talkie_cpt,yes_no,US-1967-ADEA,1967,civil_rights|labor_wages,0.004519,0.045160
talkie_cpt,yes_no,US-1968-FAIR-HOUSING,1968,civil_rights|social_welfare,0.005448,0.032407
talkie_cpt,yes_no,US-1968-GUN-CONTROL,1968,crim_justice,0.003651,0.048423
talkie_cpt,yes_no,US-1968-TERRY,1968,,0.003348,0.033989
talkie_cpt,yes_no,US-1968-OMNIBUS-CRIME-CONTROL,1968,natl_security|crim_justice,-0.000621,-0.019853
talkie_cpt,yes_no,US-1968-TRUTH-IN-LENDING,1968,,0.003114,0.024818
talkie_cpt,yes_no,US-1969-BRANDENBURG,1969,,-0.000601,-0.012734
talkie_cpt,yes_no,US-1969-NEPA,1969,environment,0.005220,0.049416
talkie_cpt,yes_no,US-1969-TINKER,1969,,-0.001088,-0.004595
talkie_cpt,yes_no,US-1970-CLEAN-AIR,1970,environment,0.006127,0.019758
talkie_cpt,yes_no,US-1970-CSA,1970,health_medical,0.009140,0.069127
talkie_cpt,yes_no,US-1970-OSHA,1970,labor_wages,0.011978,0.076702
talkie_cpt,yes_no,US-1970-FCRA,1970,,0.010447,0.078632
talkie_cpt,yes_no,US-1970-BANK-SECRECY,1970,crim_justice,0.006465,0.038722
talkie_cpt,yes_no,US-1971-26TH,1971,civil_rights,0.006459,0.052437
talkie_cpt,yes_no,US-1971-FECA,1971,,0.007668,0.067133
talkie_cpt,yes_no,US-1971-LEMON,1971,,0.003075,0.023187
talkie_cpt,yes_no,US-1971-PENTAGON-PAPERS,1971,,0.004485,0.036856
talkie_cpt,yes_no,US-1971-ANCSA,1971,finance_banking,0.010213,0.112748
talkie_cpt,yes_no,US-1972-CLEAN-WATER,1972,,0.004472,0.054859
talkie_cpt,yes_no,US-1972-FURMAN,1972,,0.003238,0.023837
